"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-07-06 18:10:00,2015-07-06 23:40:00,"pm25","Anand Vihar","Anand+Vihar",26,"µg/m³","Delhi","IN",NA,NA
2015-07-06 18:30:00,2015-07-07 00:00:00,"pm25","Anand Vihar","Anand+Vihar",25,"µg/m³","Delhi","IN",NA,NA
2015-07-06 19:10:00,2015-07-07 00:40:00,"pm25","Anand Vihar","Anand+Vihar",25,"µg/m³","Delhi","IN",NA,NA
2015-07-06 19:30:00,2015-07-07 01:00:00,"pm25","Anand Vihar","Anand+Vihar",34,"µg/m³","Delhi","IN",NA,NA
2015-07-06 20:10:00,2015-07-07 01:40:00,"pm25","Anand Vihar","Anand+Vihar",34,"µg/m³","Delhi","IN",NA,NA
2015-07-06 20:30:00,2015-07-07 02:00:00,"pm25","Anand Vihar","Anand+Vihar",49,"µg/m³","Delhi","IN",NA,NA
2015-07-06 21:10:00,2015-07-07 02:40:00,"pm25","Anand Vihar","Anand+Vihar",49,"µg/m³","Delhi","IN",NA,NA
2015-07-06 21:30:00,2015-07-07 03:00:00,"pm25","Anand Vihar","Anand+Vihar",70,"µg/m³","Delhi","IN",NA,NA
2015-07-06 22:10:00,2015-07-07 03:40:00,"pm25","Anand Vihar","Anand+Vihar",70,"µg/m³","Delhi","IN",NA,NA
2015-07-06 22:30:00,2015-07-07 04:00:00,"pm25","Anand Vihar","Anand+Vihar",56,"µg/m³","Delhi","IN",NA,NA
2015-07-06 23:10:00,2015-07-07 04:40:00,"pm25","Anand Vihar","Anand+Vihar",56,"µg/m³","Delhi","IN",NA,NA
2015-07-06 23:30:00,2015-07-07 05:00:00,"pm25","Anand Vihar","Anand+Vihar",27,"µg/m³","Delhi","IN",NA,NA
2015-07-07 00:30:00,2015-07-07 06:00:00,"pm25","Anand Vihar","Anand+Vihar",39,"µg/m³","Delhi","IN",NA,NA
2015-07-07 01:10:00,2015-07-07 06:40:00,"pm25","Anand Vihar","Anand+Vihar",39,"µg/m³","Delhi","IN",NA,NA
2015-07-07 01:30:00,2015-07-07 07:00:00,"pm25","Anand Vihar","Anand+Vihar",29,"µg/m³","Delhi","IN",NA,NA
2015-07-07 02:10:00,2015-07-07 07:40:00,"pm25","Anand Vihar","Anand+Vihar",29,"µg/m³","Delhi","IN",NA,NA
2015-07-07 02:30:00,2015-07-07 08:00:00,"pm25","Anand Vihar","Anand+Vihar",32,"µg/m³","Delhi","IN",NA,NA
2015-07-07 03:10:00,2015-07-07 08:40:00,"pm25","Anand Vihar","Anand+Vihar",32,"µg/m³","Delhi","IN",NA,NA
2015-07-07 07:30:00,2015-07-07 13:00:00,"pm25","Anand Vihar","Anand+Vihar",49,"µg/m³","Delhi","IN",NA,NA
2015-07-07 08:10:00,2015-07-07 13:40:00,"pm25","Anand Vihar","Anand+Vihar",49,"µg/m³","Delhi","IN",NA,NA
2015-07-07 08:30:00,2015-07-07 14:00:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-07 09:10:00,2015-07-07 14:40:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-07 09:30:00,2015-07-07 15:00:00,"pm25","Anand Vihar","Anand+Vihar",93,"µg/m³","Delhi","IN",NA,NA
2015-07-07 09:50:00,2015-07-07 15:20:00,"pm25","Anand Vihar","Anand+Vihar",93,"µg/m³","Delhi","IN",NA,NA
2015-07-07 13:50:00,2015-07-07 19:20:00,"pm25","Anand Vihar","Anand+Vihar",80,"µg/m³","Delhi","IN",NA,NA
2015-07-07 21:30:00,2015-07-08 03:00:00,"pm25","Anand Vihar","Anand+Vihar",107,"µg/m³","Delhi","IN",NA,NA
2015-07-08 00:00:00,2015-07-08 05:30:00,"pm25","Anand Vihar","Anand+Vihar",26,"µg/m³","Delhi","IN",NA,NA
2015-07-08 00:00:00,2015-07-08 05:30:00,"pm25","Anand Vihar","Anand+Vihar",26,"µg/m³","Delhi","IN",NA,NA
2015-07-08 05:10:00,2015-07-08 10:40:00,"pm25","Anand Vihar","Anand+Vihar",115,"µg/m³","Delhi","IN",NA,NA
2015-07-08 07:30:00,2015-07-08 13:00:00,"pm25","Anand Vihar","Anand+Vihar",40,"µg/m³","Delhi","IN",NA,NA
2015-07-08 08:10:00,2015-07-08 13:40:00,"pm25","Anand Vihar","Anand+Vihar",40,"µg/m³","Delhi","IN",NA,NA
2015-07-08 08:30:00,2015-07-08 14:00:00,"pm25","Anand Vihar","Anand+Vihar",61,"µg/m³","Delhi","IN",NA,NA
2015-07-08 09:30:00,2015-07-08 15:00:00,"pm25","Anand Vihar","Anand+Vihar",34,"µg/m³","Delhi","IN",NA,NA
2015-07-08 10:10:00,2015-07-08 15:40:00,"pm25","Anand Vihar","Anand+Vihar",34,"µg/m³","Delhi","IN",NA,NA
